NAME,TICKER
AGS Transact Technologies Limited,AGSTRA.NS
Ahlada Engineers Limited,AHLADA.NS
Asian Hotels (East) Limited,AHLEAST.NS
Ahluwalia Contracts (India) Limited,AHLUCONT.NS
AIA Engineering Limited,AIAENG.NS
Authum Investment & Infrastructure Limited,AIIL.NS
Airan Limited,AIRAN.NS
Airo Lam limited,AIROLAM.NS
Ajanta Pharma Limited,AJANTPHARM.NS
Ajax Engineering Limited,AJAXENGG.NS
Ajmera Realty & Infra India Limited,AJMERA.NS
Ajooni Biotech Limited,AJOONI.NS
Akash Infra-Projects Limited,AKASH.NS
Akg Exim Limited,AKG.NS
AKI India Limited,AKI.NS
Akshar Spintex Limited,AKSHAR.NS
AksharChem India Limited,AKSHARCHEM.NS
Aksh Optifibre Limited,AKSHOPTFBR.NS
Akums Drugs and Pharmaceuticals Limited,AKUMS.NS
Akzo Nobel India Limited,AKZOINDIA.NS
Alankit Limited,ALANKIT.NS
Albert David Limited,ALBERTDAVD.NS
Alembic Limited,ALEMBICLTD.NS
Alicon Castalloy Limited,ALICON.NS
Alivus Life Sciences Limited,ALIVUS.NS
Alkali Metals Limited,ALKALI.NS
Alkem Laboratories Limited,ALKEM.NS
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS
Allcargo Logistics Limited,ALLCARGO.NS
Alldigi Tech Limited,ALLDIGI.NS
Almondz Global Securities Limited,ALMONDZ.NS
Alok Industries Limited,ALOKINDS.NS
Alpa Laboratories Limited,ALPA.NS
Alphageo (India) Limited,ALPHAGEO.NS
Amber Enterprises India Limited,AMBER.NS
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS
Ambika Cotton Mills Limited,AMBIKCO.NS
Ambuja Cements Limited,AMBUJACEM.NS
AMD Industries Limited,AMDIND.NS
Amj Land Holdings Limited,AMJLAND.NS
Amines & Plasticizers Limited,AMNPLST.NS
Amrutanjan Health Care Limited,AMRUTANJAN.NS
Anand Rathi Wealth Limited,ANANDRATHI.NS
Anant Raj Limited,ANANTRAJ.NS
ANDHRA PAPER LIMITED,ANDHRAPAP.NS
The Andhra Sugars Limited,ANDHRSUGAR.NS
Angel One Limited,ANGELONE.NS
Anik Industries Limited,ANIKINDS.NS
Ankit Metal & Power Limited,ANKITMETAL.NS
Anmol India Limited,ANMOL.NS
Ansal Properties & Infrastructure Limited,ANSALAPI.NS
Antarctica Limited,ANTGRAPHIC.NS
Anthem Biosciences Limited,ANTHEM.NS
Anuh Pharma Limited,ANUHPHR.NS
The Anup Engineering Limited,ANUP.NS
Anupam Rasayan India Limited,ANURAS.NS
Apar Industries Limited,APARINDS.NS
Anjani Portland Cement Limited,APCL.NS
Apcotex Industries Limited,APCOTEXIND.NS
Apex Frozen Foods Limited,APEX.NS
APL Apollo Tubes Limited,APLAPOLLO.NS
Alembic Pharmaceuticals Limited,APLLTD.NS
Apollo Micro Systems Limited,APOLLO.NS
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
Apollo Pipes Limited,APOLLOPIPE.NS
Apollo Tyres Limited,APOLLOTYRE.NS
Apollo Sindoori Hotels Limited,APOLSINHOT.NS
Aptech Limited,APTECHT.NS
Aptus Value Housing Finance India Limited,APTUS.NS
Archidply Industries Limited,ARCHIDPLY.NS
Archies Limited,ARCHIES.NS
Amara Raja Energy & Mobility Limited,ARE&M.NS
Rajdarshan Industries Limited,ARENTERP.NS
Arfin India Limited,ARFIN.NS
Aries Agro Limited,ARIES.NS
Arihant Capital Markets Limited,ARIHANTCAP.NS
Arihant Superstructures Limited,ARIHANTSUP.NS
Arisinfra Solutions Limited,ARISINFRA.NS
Arkade Developers Limited,ARKADE.NS
Arman Financial Services Limited,ARMANFIN.NS
Aro Granite Industries Limited,AROGRANITE.NS
Arrow Greentech Limited,ARROWGREEN.NS
ARSS Infrastructure Projects Limited,ARSSINFRA.NS
Artemis Medicare Services Limited,ARTEMISMED.NS
Art Nirman Limited,ARTNIRMAN.NS
Arvee Laboratories (India) Limited,ARVEE.NS
Arvind Limited,ARVIND.NS
Arvind Fashions Limited,ARVINDFASN.NS
Arvind SmartSpaces Limited,ARVSMART.NS
Asahi India Glass Limited,ASAHIINDIA.NS
Asahi Songwon Colors Limited,ASAHISONG.NS
Automotive Stampings and Assemblies Limited,ASAL.NS
Associated Alcohols & Breweries Ltd.,ASALCBR.NS
Ashapura Minechem Limited,ASHAPURMIN.NS
Ashiana Housing Limited,ASHIANA.NS
Ashima Limited,ASHIMASYN.NS
Ashoka Buildcon Limited,ASHOKA.NS
Ashoka Metcast Limited,ASHOKAMET.NS
Ashok Leyland Limited,ASHOKLEY.NS
Asian Energy Services Limited,ASIANENE.NS
Asian Hotels (North) Limited,ASIANHOTNR.NS
Asian Paints Limited,ASIANPAINT.NS
Asian Granito India Limited,ASIANTILES.NS
ASK Automotive Limited,ASKAUTOLTD.NS
Bartronics India Limited,ASMS.NS
Aspinwall and Company Limited,ASPINWALL.NS
Astec LifeSciences Limited,ASTEC.NS
Aster DM Healthcare Limited,ASTERDM.NS
Astral Limited,ASTRAL.NS
Astra Microwave Products Limited,ASTRAMICRO.NS
AstraZeneca Pharma India Limited,ASTRAZEN.NS
Astron Paper & Board Mill Limited,ASTRON.NS
Atal Realtech Limited,ATALREAL.NS
Atam Valves Limited,ATAM.NS
Adani Total Gas Limited,ATGL.NS
Ather Energy Limited,ATHERENERG.NS
Allcargo Terminals Limited,ATL.NS
ATLANTAA LIMITED,ATLANTAA.NS
Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS
Atul Limited,ATUL.NS
Atul Auto Limited,ATULAUTO.NS
AU Small Finance Bank Limited,AUBANK.NS
Aurionpro Solutions Limited,AURIONPRO.NS
Aurobindo Pharma Limited,AUROPHARMA.NS
Aurum PropTech Limited,AURUM.NS
Ausom Enterprise Limited,AUSOMENT.NS
Automotive Axles Limited,AUTOAXLES.NS
Autoline Industries Limited,AUTOIND.NS
Avadh Sugar & Energy Limited,AVADHSUGAR.NS
Avalon Technologies Limited,AVALON.NS
Avantel Limited,AVANTEL.NS
Avanti Feeds Limited,AVANTIFEED.NS
AVG Logistics Limited,AVG.NS
Aditya Vision Limited,AVL.NS
Avonmore Capital & Management Services Limited,AVONMORE.NS
AVRO INDIA LIMITED,AVROIND.NS
AVT Natural Products Limited,AVTNPL.NS
Awfis Space Solutions Limited,AWFIS.NS
Antony Waste Handling Cell Limited,AWHCL.NS
AWL Agri Business Limited,AWL.NS
Axis Bank Limited,AXISBANK.NS
AXISCADES Technologies Limited,AXISCADES.NS
Axita Cotton Limited,AXITA.NS
AYM Syntex Limited,AYMSYNTEX.NS
Azad Engineering Limited,AZAD.NS
Bafna Pharmaceuticals Limited,BAFNAPH.NS
B.A.G Films and Media Limited,BAGFILMS.NS
Baid Finserv Limited,BAIDFIN.NS
Bajaj Auto Limited,BAJAJ-AUTO.NS
Bajaj Consumer Care Limited,BAJAJCON.NS
Bajaj Electricals Limited,BAJAJELEC.NS
Bajaj Finserv Limited,BAJAJFINSV.NS
Bajaj Healthcare Limited,BAJAJHCARE.NS
Bajaj Housing Finance Limited,BAJAJHFL.NS
Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
Indef Manufacturing Limited,BAJAJINDEF.NS
Bajel Projects Limited,BAJEL.NS
Bajaj Finance Limited,BAJFINANCE.NS
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS
Balaji Telefilms Limited,BALAJITELE.NS
Balaji Amines Limited,BALAMINES.NS
BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS
Balkrishna Paper Mills Limited,BALKRISHNA.NS
Balkrishna Industries Limited,BALKRISIND.NS
Balmer Lawrie & Company Limited,BALMLAWRIE.NS
Bal Pharma Limited,BALPHARMA.NS
Balrampur Chini Mills Limited,BALRAMCHIN.NS
Balu Forge Industries Limited,BALUFORGE.NS
Banaras Beads Limited,BANARBEADS.NS
Bannari Amman Sugars Limited,BANARISUG.NS
Banco Products (I) Limited,BANCOINDIA.NS
Bandhan Bank Limited,BANDHANBNK.NS
Bang Overseas Limited,BANG.NS
Banka BioLoo Limited,BANKA.NS
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Bansal Wire Industries Limited,BANSALWIRE.NS
Banswara Syntex Limited,BANSWRAS.NS
Barbeque Nation Hospitality Limited,BARBEQUE.NS
BASF India Limited,BASF.NS
Bannari Amman Spinning Mills Limited,BASML.NS
Bata India Limited,BATAINDIA.NS
Bayer Cropscience Limited,BAYERCROP.NS
Bharat Bijlee Limited,BBL.NS
Black Box Limited,BBOX.NS
Bombay Burmah Trading Corporation Limited,BBTC.NS
B&B Triplewall Containers Limited,BBTCL.NS
Brightcom Group Limited,BCG.NS
Bcl Industries Limited,BCLIND.NS
Brand Concepts Limited,BCONCEPTS.NS
Bharat Dynamics Limited,BDL.NS
Beardsell Limited,BEARDSELL.NS
Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS
Bedmutha Industries Limited,BEDMUTHA.NS
Bharat Electronics Limited,BEL.NS
Bella Casa Fashion & Retail Limited,BELLACASA.NS
Belrise Industries Limited,BELRISE.NS
BEML Limited,BEML.NS
Bhansali Engineering Polymers Limited,BEPL.NS
Berger Paints (I) Limited,BERGEPAINT.NS
Best Agrolife Limited,BESTAGRO.NS
BF Investment Limited,BFINVEST.NS
BF Utilities Limited,BFUTILITIE.NS
BGR Energy Systems Limited,BGRENERGY.NS
Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS
Bhageria Industries Limited,BHAGERIA.NS
Bhagyanagar India Limited,BHAGYANGR.NS
Bhandari Hosiery Exports Limited,BHANDARI.NS
Bharat Forge Limited,BHARATFORG.NS
Bharat Gears Limited,BHARATGEAR.NS
Bharat Rasayan Limited,BHARATRAS.NS
Bharat Seats Limited,BHARATSE.NS
Bharat Wire Ropes Limited,BHARATWIRE.NS
Bharti Airtel Limited,BHARTIARTL.NS
Bharti Hexacom Limited,BHARTIHEXA.NS
Bharat Heavy Electricals Limited,BHEL.NS
Bigbloc Construction Limited,BIGBLOC.NS
Bikaji Foods International Limited,BIKAJI.NS
Bhartiya International Limited,BIL.NS
BIL VYAPAR LIMITED,BILVYAPAR.NS
Biocon Limited,BIOCON.NS
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
Birla Cable Limited,BIRLACABLE.NS
Birla Corporation Limited,BIRLACORPN.NS
Aditya Birla Money Limited,BIRLAMONEY.NS
BirlaNu Limited,BIRLANU.NS
Zinka Logistics Solutions Limited,BLACKBUCK.NS
BEML Land Assets Limited,BLAL.NS
BLB Limited,BLBLIMITED.NS
Bliss GVS Pharma Limited,BLISSGVS.NS
B. L. Kashyap and Sons Limited,BLKASHYAP.NS
BLS International Services Limited,BLS.NS
BLS E-Services Limited,BLSE.NS
Blue Coast Hotels Limited,BLUECOAST.NS
Blue Dart Express Limited,BLUEDART.NS
Blue Jet Healthcare Limited,BLUEJET.NS
Blue Star Limited,BLUESTARCO.NS
Bluspring Enterprises Limited,BLUSPRING.NS
Bodal Chemicals Limited,BODALCHEM.NS
Bohra Industries Limited,BOHRAIND.NS
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
Borana Weaves Limited,BORANA.NS
Borosil Limited,BOROLTD.NS
BOROSIL RENEWABLES LIMITED,BORORENEW.NS
Borosil Scientific Limited,BOROSCI.NS
Bosch Limited,BOSCHLTD.NS
Bharat Petroleum Corporation Limited,BPCL.NS
BPL Limited,BPL.NS
Brigade Enterprises Limited,BRIGADE.NS
Britannia Industries Limited,BRITANNIA.NS
Bharat Road Network Limited,BRNL.NS
Brooks Laboratories Limited,BROOKS.NS
BSE Limited,BSE.NS
Bombay Super Hybrid Seeds Limited,BSHSL.NS
BSL Limited,BSL.NS
BIRLASOFT LIMITED,BSOFT.NS
Bodhi Tree Multimedia Limited,BTML.NS
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
Barak Valley Cements Limited,BVCL.NS
The Byke Hospitality Ltd,BYKE.NS
California Software Company Limited,CALSOFT.NS
Camlin Fine Sciences Limited,CAMLINFINE.NS
Campus Activewear Limited,CAMPUS.NS
Computer Age Management Services Limited,CAMS.NS
Canara Bank,CANBK.NS
Can Fin Homes Limited,CANFINHOME.NS
Cantabil Retail India Limited,CANTABIL.NS
Capacit'e Infraprojects Limited,CAPACITE.NS
Capital Small Finance Bank Limited,CAPITALSFB.NS
Caplin Point Laboratories Limited,CAPLIPOINT.NS
Capital Trust Limited,CAPTRUST.NS
Carborundum Universal Limited,CARBORUNIV.NS
CARE Ratings Limited,CARERATING.NS
Carraro India Limited,CARRARO.NS
Cartrade Tech Limited,CARTRADE.NS
CARYSIL LIMITED,CARYSIL.NS
Castrol India Limited,CASTROLIND.NS
Consolidated Construction Consortium Limited,CCCL.NS
Country Club Hospitality & Holidays Limited,CCHHL.NS
CCL Products (India) Limited,CCL.NS
Central Depository Services (India) Limited,CDSL.NS
CEAT Limited,CEATLTD.NS
Ceigall India Limited,CEIGALL.NS
Celebrity Fashions Limited,CELEBRITY.NS
Cello World Limited,CELLO.NS
Century Enka Limited,CENTENKA.NS
Century Extrusions Limited,CENTEXT.NS
Central Bank of India,CENTRALBK.NS
Centrum Capital Limited,CENTRUM.NS
Centum Electronics Limited,CENTUM.NS
Century Plyboards (India) Limited,CENTURYPLY.NS
Cera Sanitaryware Limited,CERA.NS
Cerebra Integrated Technologies Limited,CEREBRAINT.NS
CESC Limited,CESC.NS
Concord Enviro Systems Limited,CEWATER.NS
Capri Global Capital Limited,CGCL.NS
CG Power and Industrial Solutions Limited,CGPOWER.NS
Chalet Hotels Limited,CHALET.NS
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
Chembond Material Technologies Limited,CHEMBOND.NS
Chembond Chemicals Limited,CHEMBONDCH.NS
Chemcon Speciality Chemicals Limited,CHEMCON.NS
Chemfab Alkalis Limited,CHEMFAB.NS
Chemplast Sanmar Limited,CHEMPLASTS.NS
Chennai Petroleum Corporation Limited,CHENNPETRO.NS
Cheviot Company Limited,CHEVIOT.NS
Choice International Limited,CHOICEIN.NS
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
CIE Automotive India Limited,CIEINDIA.NS
Capital India Finance Limited,CIFL.NS
Cigniti Technologies Limited,CIGNITITEC.NS
Cineline India Limited,CINELINE.NS
Cinevista Limited,CINEVISTA.NS
Cipla Limited,CIPLA.NS
Clean Science and Technology Limited,CLEAN.NS
CL Educate Limited,CLEDUCATE.NS
Chaman Lal Setia Exports Limited,CLSEL.NS
CMS Info Systems Limited,CMSINFO.NS
Coal India Limited,COALINDIA.NS
Coastal Corporation Limited,COASTCORP.NS
Cochin Shipyard Limited,COCHINSHIP.NS
Coffee Day Enterprises Limited,COFFEEDAY.NS
Coforge Limited,COFORGE.NS
Cohance Lifesciences Limited,COHANCE.NS
Colgate Palmolive (India) Limited,COLPAL.NS
Compucom Software Limited,COMPUSOFT.NS
Commercial Syn Bags Limited,COMSYN.NS
Container Corporation of India Limited,CONCOR.NS
Concord Biotech Limited,CONCORDBIO.NS
Confidence Petroleum India Limited,CONFIPET.NS
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
Control Print Limited,CONTROLPR.NS
Coral India Finance & Housing Limited,CORALFINAC.NS
Cords Cable Industries Limited,CORDSCABLE.NS
Coromandel International Limited,COROMANDEL.NS
COSMO FIRST LIMITED,COSMOFIRST.NS
Country Condo's Limited,COUNCODOS.NS
CP Capital Limited,CPCAP.NS
Craftsman Automation Limited,CRAFTSMAN.NS
Creative Newtech Limited,CREATIVE.NS
Creative Eye Limited,CREATIVEYE.NS
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
Crest Ventures Limited,CREST.NS
CRISIL Limited,CRISIL.NS
Crizac Limited,CRIZAC.NS
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
Crown Lifters Limited,CROWN.NS
CSB Bank Limited,CSBBANK.NS
CSL Finance Limited,CSLFINANCE.NS
Cambridge Technology Enterprises Limited,CTE.NS
City Union Bank Limited,CUB.NS
Cubex Tubings Limited,CUBEXTUB.NS
Cummins India Limited,CUMMINSIND.NS
Cupid Limited,CUPID.NS
Cura Technologies Limited,CURAA.NS
Cyber Media (India) Limited,CYBERMEDIA.NS
Cybertech Systems And Software Limited,CYBERTECH.NS
Cyient Limited,CYIENT.NS
Cyient DLM Limited,CYIENTDLM.NS
Dabur India Limited,DABUR.NS
Dalmia Bharat Limited,DALBHARAT.NS
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
Dam Capital Advisors Limited,DAMCAPITAL.NS
Damodar Industries Limited,DAMODARIND.NS
Dangee Dums Limited,DANGEE.NS
Datamatics Global Services Limited,DATAMATICS.NS
Data Patterns (India) Limited,DATAPATTNS.NS
Davangere Sugar Company Limited,DAVANGERE.NS
D.B.Corp Limited,DBCORP.NS
Deepak Builders & Engineers India Limited,DBEIL.NS
Dilip Buildcon Limited,DBL.NS
Dhampur Bio Organics Limited,DBOL.NS
Valor Estate Limited,DBREALTY.NS
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
Dishman Carbogen Amcis Limited,DCAL.NS
DCB Bank Limited,DCBBANK.NS
Dc Infotech And Communication Limited,DCI.NS
DCM  Limited,DCM.NS
DCM Financial Services Limited,DCMFINSERV.NS
DCM Nouvelle Limited,DCMNVL.NS
DCM Shriram Limited,DCMSHRIRAM.NS
DCM Shriram Industries Limited,DCMSRIND.NS
DCW Limited,DCW.NS
DCX Systems Limited,DCXINDIA.NS
Ddev Plastiks Industries Limited,DDEVPLSTIK.NS
Deccan Cements Limited,DECCANCE.NS
DEE Development Engineers Limited,DEEDEV.NS
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS
Deepak Nitrite Limited,DEEPAKNTR.NS
Deep Industries Limited,DEEPINDS.NS
Delhivery Limited,DELHIVERY.NS
DELPHI WORLD MONEY LIMITED,DELPHIFX.NS
Delta Corp Limited,DELTACORP.NS
Delta Manufacturing Limited,DELTAMAGNT.NS
Den Networks Limited,DEN.NS
De Nora India Limited,DENORA.NS
Denta Water and Infra Solutions Limited,DENTA.NS
Dev Information Technology Limited,DEVIT.NS
Devyani International Limited,DEVYANI.NS
Digicontent Limited,DGCONTENT.NS
Dhampur Sugar Mills Limited,DHAMPURSUG.NS
Dhanlaxmi Bank Limited,DHANBANK.NS
Dhani Services Limited,DHANI.NS
Dhanuka Agritech Limited,DHANUKA.NS
DHARAN INFRA-EPC LIMITED,DHARAN.NS
Dharmaj Crop Guard Limited,DHARMAJ.NS
Dhruv Consultancy Services Limited,DHRUV.NS
Dhunseri Investments Limited,DHUNINV.NS
Diamond Power Infrastructure Limited,DIACABS.NS
Diamines & Chemicals Limited,DIAMINESQ.NS
Prataap Snacks Limited,DIAMONDYD.NS
DIC India Limited,DICIND.NS
Diffusion Engineers Limited,DIFFNKG.NS
Digidrive Distributors Limited,DIGIDRIVE.NS
DiGiSPICE Technologies Limited,DIGISPICE.NS
Digitide Solutions Limited,DIGITIDE.NS
Digjam Limited,DIGJAMLMTD.NS
Debock Industries Limited,DIL.NS
Dish TV India Limited,DISHTV.NS
Divgi Torqtransfer Systems Limited,DIVGIITTS.NS
Divi's Laboratories Limited,DIVISLAB.NS
Dixon Technologies (India) Limited,DIXON.NS
DJ Mediaprint & Logistics Limited,DJML.NS
DLF Limited,DLF.NS
D-Link (India) Limited,DLINKINDIA.NS
Avenue Supermarts Limited,DMART.NS
DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS
Diligent Media Corporation Limited,DNAMEDIA.NS
Dodla Dairy Limited,DODLA.NS
Dolat Algotech Limited,DOLATALGO.NS
Dollar Industries Limited,DOLLAR.NS
Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS
DOMS Industries Limited,DOMS.NS
Donear Industries Limited,DONEAR.NS
D. P. Abhushan Limited,DPABHUSHAN.NS
DPSC Limited,DPSCLTD.NS
D P Wires Limited,DPWIRES.NS
DRC Systems India Limited,DRCSYSTEMS.NS
Dreamfolks Services Limited,DREAMFOLKS.NS
Dredging Corporation of India Limited,DREDGECORP.NS
Dr. Reddy's Laboratories Limited,DRREDDY.NS
Dynacons Systems & Solutions Limited,DSSL.NS
Dhunseri Tea & Industries Limited,DTIL.NS
Ducon Infratechnologies Limited,DUCON.NS
Dhunseri Ventures Limited,DVL.NS
Dwarikesh Sugar Industries Limited,DWARKESH.NS
Dynamic Cables Limited,DYCL.NS
Dynamatic Technologies Limited,DYNAMATECH.NS
Dynemic Products Limited,DYNPRO.NS
E2E Networks Limited,E2E.NS
Easy Trip Planners Limited,EASEMYTRIP.NS
GNG Electronics Limited,EBGNG.NS
eClerx Services Limited,ECLERX.NS
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS
Edelweiss Financial Services Limited,EDELWEISS.NS
Eicher Motors Limited,EICHERMOT.NS
EID Parry India Limited,EIDPARRY.NS
Enviro Infra Engineers Limited,EIEL.NS
Euro India Fresh Foods Limited,EIFFL.NS
EIH Associated Hotels Limited,EIHAHOTELS.NS
EIH Limited,EIHOTEL.NS
Eimco Elecon (India) Limited,EIMCOELECO.NS
Everest Kanto Cylinder Limited,EKC.NS
Eldeco Housing And Industries Limited,ELDEHSG.NS
Elecon Engineering Company Limited,ELECON.NS
Electrosteel Castings Limited,ELECTCAST.NS
Electrotherm (India) Limited,ELECTHERM.NS
Elgi Equipments Limited,ELGIEQUIP.NS
Elgi Rubber Company Limited,ELGIRUBCO.NS
Elin Electronics Limited,ELIN.NS
Ellenbarrie Industrial Gases Limited,ELLEN.NS
Emami Limited,EMAMILTD.NS
Emami Paper Mills Limited,EMAMIPAP.NS
Emami Realty Limited,EMAMIREAL.NS
Embassy Developments Limited,EMBDL.NS
Emcure Pharmaceuticals Limited,EMCURE.NS
Electronics Mart India Limited,EMIL.NS
Emkay Global Financial Services Limited,EMKAY.NS
Emmbi Industries Limited,EMMBI.NS
EMS Limited,EMSLIMITED.NS
eMudhra Limited,EMUDHRA.NS
Endurance Technologies Limited,ENDURANCE.NS
Energy Development Company Limited,ENERGYDEV.NS
Engineers India Limited,ENGINERSIN.NS
Entertainment Network (India) Limited,ENIL.NS
Siemens Energy India Limited,ENRIN.NS
Entero Healthcare Solutions Limited,ENTERO.NS
EPACK Durable Limited,EPACK.NS
Epigral Limited,EPIGRAL.NS
EPL Limited,EPL.NS
Equippp Social Impact Technologies Limited,EQUIPPP.NS
Equitas Small Finance Bank Limited,EQUITASBNK.NS
Eris Lifesciences Limited,ERIS.NS
Esab India Limited,ESABINDIA.NS
ESAF Small Finance Bank Limited,ESAFSFB.NS
Escorts Kubota Limited,ESCORTS.NS
Essar Shipping Limited,ESSARSHPNG.NS
Integra Essentia Limited,ESSENTIA.NS
Ester Industries Limited,ESTER.NS
ETERNAL LIMITED,ETERNAL.NS
Ethos Limited,ETHOSLTD.NS
Eureka Forbes Limited,EUREKAFORB.NS
Eurotex Industries and Exports Limited,EUROTEXIND.NS
Eveready Industries India Limited,EVEREADY.NS
Everest Industries Limited,EVERESTIND.NS
Excel Realty N Infra Limited,EXCEL.NS
Excel Industries Limited,EXCELINDUS.NS
Exicom Tele-Systems Limited,EXICOM.NS
Exide Industries Limited,EXIDEIND.NS
Expleo Solutions Limited,EXPLEOSOL.NS
Exxaro Tiles Limited,EXXARO.NS
Fertilizers and Chemicals Travancore Limited,FACT.NS
Fairchem Organics Limited,FAIRCHEMOR.NS
Faze Three Limited,FAZE3Q.NS
Fineotex Chemical Limited,FCL.NS
FCS Software Solutions Limited,FCSSOFT.NS
FDC Limited,FDC.NS
The Federal Bank  Limited,FEDERALBNK.NS
Fedbank Financial Services Limited,FEDFINA.NS
Future Enterprises Limited,FEL.NS
Future Enterprises Limited,FELDVR.NS
Fiberweb (India) Limited,FIBERWEB.NS
Fiem Industries Limited,FIEMIND.NS
Filatex India Limited,FILATEX.NS
Filatex Fashions Limited,FILATFASH.NS
Finolex Cables Limited,FINCABLES.NS
Fine Organic Industries Limited,FINEORG.NS
Fino Payments Bank Limited,FINOPB.NS
Finolex Industries Limited,FINPIPE.NS
Brainbees Solutions Limited,FIRSTCRY.NS
Fischer Medical Ventures Limited,FISCHER.NS
Five-Star Business Finance Limited,FIVESTAR.NS
Flair Writing Industries Limited,FLAIR.NS
Flexituff Ventures International Limited,FLEXITUFF.NS
